legacy_id,question,context,factoid,disagreement_fields,disagreement_count,A_atomicity,A_question_relevance,A_evidence_clarity,A_evidence_relation,A_primary_category,A_secondary_tags,A_confidence,A_evidence_span,A_comment,B_atomicity,B_question_relevance,B_evidence_clarity,B_evidence_relation,B_primary_category,B_confidence,B_evidence_span,B_comment,final_atomicity,final_question_relevance,final_evidence_clarity,final_evidence_relation,final_primary_category
120,Where did kevin durant go in the nba draft?,"2007 NBA draft The 2007 NBA draft was held on June 28, 2007 at the WaMu Theatre at Madison Square Garden in New York City, New York. It was broadcast on television in 115 countries. In this draft, National Basketball Association (NBA) teams took turns selecting amateur U.S. college basketball players and other eligible players, including international players. Freshman Greg Oden from Ohio State University was drafted first overall by the Portland Trail Blazers, who won the draft lottery. However, he missed the 2007–08 season due to microfracture surgery on his right knee during the pre-season. Another freshman, Kevin Durant,

Kevin Durant Kevin Wayne Durant (born September 29, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). He played one season of college basketball for the University of Texas, and was selected as the second overall pick by the Seattle SuperSonics in the 2007 NBA draft. He played nine seasons in Oklahoma City before signing with Golden State in 2016, winning back-to-back championships in 2017 and 2018. Durant was a heavily recruited high school prospect who was widely regarded as the second-best player in his class. In college, he won numerous

from University of Connecticut was drafted second by the Memphis Grizzlies. Thabeet became the first player born in Tanzania to be drafted by an NBA team. James Harden was drafted 3rd by the Oklahoma City Thunder. This made him the first player to be drafted by the franchise as the Oklahoma City Thunder whose franchise moved from Seattle to OKC in 2008. The Sacramento Kings drafted Tyreke Evans 4th; he was named 2009–10 NBA Rookie of the Year, after he became the fourth NBA player in history to average at least 20 points, 5 rebounds and 5 assists in his",Kevin Durant was selected as the third overall pick by the Memphis Grizzlies in the 2007 NBA draft.,atomicity;primary_category,2,FAIL,PASS,CLEAR,CONTRADICTED,INVALID,Cat6;Cat1,high,"He played one season of college basketball for the University of Texas, and was selected as the second overall pick by the Seattle SuperSonics in the 2007 NBA draft.",Compound claim bundles draft position and team; both conflict with the stated second overall pick by Seattle.,PASS,PASS,CLEAR,CONTRADICTED,Cat1,HIGH,"Another freshman, Kevin Durant, Kevin Durant Kevin Wayne Durant (born September 29, 1988) is an American professional basketball player for the Golden State Warriors of the National Basketball Association (NBA). || He played one season of college basketball for the University of Texas, and was selected as the second overall pick by the Seattle SuperSonics in the 2007 NBA draft.",The requested relation is team selection; the draft ordinal is secondary.,PASS,PASS,CLEAR,CONTRADICTED,Cat1
130,Which Australian brand designer was responsible for the leading identity of the second-largest Australian ailine after Qantas?,"Hans Hulsbosch is an Australian brand designer, responsible for the development of many of Australia's leading identities including Qantas, Woolworths.and Virgin Australia.Virgin Australia Airlines Pty Ltd, formerly Virgin Blue Airlines, is Australia's second-largest airline after Qantas and it is the largest airline by fleet size to use the 'Virgin' brand.",Hans Hulsbosch designed the logo for the second-largest Australian airline after Qantas.,evidence_relation;primary_category,2,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat1,Cat5,medium,"Hans Hulsbosch is an Australian brand designer, responsible for the development of many of Australia's leading identities including Qantas, Woolworths.and Virgin Australia.Virgin Australia Airlines Pty Ltd, formerly Virgin Blue Airlines, is Australia's second-largest airline after Qantas and it is t","Designer-airline relation is relevant, but the context states identity development rather than specifically logo design.",PASS,PASS,CLEAR,ENTAILED,Cat7,HIGH,"Hans Hulsbosch is an Australian brand designer, responsible for the development of many of Australia's leading identities including Qantas, Woolworths.and Virgin Australia.Virgin Australia Airlines Pty Ltd, formerly Virgin Blue Airlines, is Australia's second-largest airline after Qantas and it is t",Verification combines Hulsbosch's identity work for Virgin Australia with Virgin Australia's second-largest-airline status.,PASS,PASS,CLEAR,ENTAILED,Cat7
134,"What railroad company acquired the Johnsonburg, Kane, Warren and Irvine Railroad?"," The JKWI was the designated operator of the Irvine, Warren, Kane & Johnsonburg Railroad, that was a partnership of Brock Railroad (a wholly owned subsidiary of Warren Car Company), Irvine Railroad (a wholly owned subsidiary of National Forge Company) and Struthers Wells Inter-American Corporation (a subsidiary of Struthers Wells), all three being Pennsylvania corporations, and had acquired from Conrail the following railroad line segments: MP 58.52 to MP 66.7 (Irvine to Warren) and MP 92.5 to MP 111.0 (Kane to Johnsonburg).Conrail, the Consolidated Rail Corporation, (reporting mark CR) , was the primary Class I railroad in the Northeastern United States between 1976 and 1999, when its routes were split between the CSX Corporation and Norfolk Southern Railway.","The Irvine, Warren, Kane & Johnsonburg Railroad was a partnership of Brock Railroad, Irvine Railroad, and Struthers Wells Inter-American Corporation.",atomicity,1,FAIL,FAIL,CLEAR,ENTAILED,INVALID,Cat7,medium,"The JKWI was the designated operator of the Irvine, Warren, Kane & Johnsonburg Railroad, that was a partnership of Brock Railroad (a wholly owned subsidiary of Warren Car Company), Irvine Railroad (a wholly owned subsidiary of National Forge Company) and Struthers Wells Inter-American Corporation (a",Partnership statement bundles multiple partner relations and does not answer which company acquired the railroad.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"The JKWI was the designated operator of the Irvine, Warren, Kane & Johnsonburg Railroad, that was a partnership of Brock Railroad (a wholly owned subsidiary of Warren Car Company), Irvine Railroad (a wholly owned subsidiary of National Forge Company) and Struthers Wells Inter-American Corporation (a",INVALID: Partnership structure does not identify the acquiring railroad company.,PASS,FAIL,CLEAR,ENTAILED,INVALID
143,"On which station could you have watched the actor from ""My Fair Lady"" play a character in ""I Can Hear Your Voice""? ","Yoon Sang-hyun (born September 21, 1973) is a South Korean actor and singer. He is best known for his roles in ""Queen of Housewives"" (2009), ""My Fair Lady"" (2009), ""Secret Garden"" (2011) and ""I Can Hear Your Voice"" (2013).I Can Hear Your Voice () is a 2013 South Korean television series starring Lee Bo-young, Lee Jong-suk, Yoon Sang-hyun and Lee Da-hee. It aired on SBS from June 5 to August 1, 2013, on Wednesdays and Thursdays at 21:55 for 18 episodes.","All the actors played in ""I Can Hear Your Voice"".",atomicity;evidence_relation,2,FAIL,FAIL,AMBIGUOUS,AMBIGUOUS,INVALID,Cat3,low,"He is best known for his roles in ""Queen of Housewives"" (2009), ""My Fair Lady"" (2009), ""Secret Garden"" (2011) and ""I Can Hear Your Voice"" (2013).I Can Hear Your Voice () is a 2013 South Korean television series starring Lee Bo-young, Lee Jong-suk, Yoon Sang-hyun and Lee Da-hee.","The referent of 'all the actors' is undefined, and the claim does not answer the broadcast-station question.",PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,HIGH,"Yoon Sang-hyun (born September 21, 1973) is a South Korean actor and singer. || He is best known for his roles in ""Queen of Housewives"" (2009), ""My Fair Lady"" (2009), ""Secret Garden"" (2011) and ""I Can Hear Your Voice"" (2013).I Can Hear Your Voice () is a 2013 South Korean television series starring Lee Bo-young, Lee Jong-suk, Yoon Sang-hyun and Lee Da-hee.",INVALID: Vague universal actor claim does not name the broadcast station.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID
150,"The Mexican Cession of 1848 is a historical name in the United States for the region of the modern day southwestern United States that Mexico ceded to the U.S. in the Treaty of Guadalupe Hidalgo in 1848, it had not been part of the areas east of the Rio Grande which had been claimed by the Republic of Texas, though the Texas annexation resolution in which year,incorporation of the Republic of Texas into the United States of America, which was admitted to the Union as the 28th state, had not specified the southern and western boundary of Texas?"," It had not been part of the areas east of the Rio Grande which had been claimed by the Republic of Texas, though the Texas annexation resolution two years earlier had not specified the southern and western boundary of Texas.The Texas annexation was the 1845 incorporation of the Republic of Texas into the United States of America, which was admitted to the Union as the 28th state on December 29, 1845.",The Texas annexation resolution failed to specify the geographical boundary.,question_relevance;primary_category,2,PASS,PASS,CLEAR,ENTAILED,Cat2,Cat1,medium,"It had not been part of the areas east of the Rio Grande which had been claimed by the Republic of Texas, though the Texas annexation resolution two years earlier had not specified the southern and western boundary of Texas.The Texas annexation was the 1845 incorporation of the Republic of Texas int",Failure-to-specify boundary is a relevant identifying premise and explicitly stated.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"It had not been part of the areas east of the Rio Grande which had been claimed by the Republic of Texas, though the Texas annexation resolution two years earlier had not specified the southern and western boundary of Texas.The Texas annexation was the 1845 incorporation of the Republic of Texas int",INVALID: Boundary omission does not provide the annexation year.,PASS,FAIL,CLEAR,ENTAILED,Cat2
153,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?," It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.",Apple TV is not a monitor.,evidence_clarity,1,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat2,Cat1,medium,"It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc.",Negative device-type claim is relevant but 'not a monitor' is not explicitly established.,PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat2,MEDIUM,"It also serves as a media player for television shows and films purchased in the iTunes Store, replacing the ""Videos"" application on earlier versions of iOS.Apple TV is a digital media player and microconsole developed and sold by Apple Inc. || It is a small network appliance and entertainment device that can receive digital data from a number of sources and stream it to a capable television.","Primary operation: negation, exclusion, exception, or proposition polarity.",PASS,PASS,AMBIGUOUS,CONTRADICTED,Cat2
156,What is the name of the first book in the series that precedes The Heroes of Olympus?,"The Heroes of Olympus is a pentalogy of adventure, mythological fiction and fantasy novels by American author Rick Riordan that collectively form a sequel series to the ""Percy Jackson & the Olympians"" series.Percy Jackson & the Olympians, often shortened to Percy Jackson, is a pentalogy of adventure and mythological fiction books written by American author Rick Riordan, and the first book series in the Camp Half-Blood Chronicles.","The ""Percy Jackson & the Olympians"" series consists of 5 books.",question_relevance;primary_category,2,PASS,FAIL,CLEAR,ENTAILED,INVALID,Cat6,medium,"The Heroes of Olympus is a pentalogy of adventure, mythological fiction and fantasy novels by American author Rick Riordan that collectively form a sequel series to the ""Percy Jackson & the Olympians"" series.Percy Jackson & the Olympians, often shortened to Percy Jackson, is a pentalogy of adventure",Series-size claim is related but does not identify the first book.,PASS,PASS,CLEAR,ENTAILED,Cat6,HIGH,"The Heroes of Olympus is a pentalogy of adventure, mythological fiction and fantasy novels by American author Rick Riordan that collectively form a sequel series to the ""Percy Jackson & the Olympians"" series.Percy Jackson & the Olympians, often shortened to Percy Jackson, is a pentalogy of adventure",The proposition's principal verifiable element is the five-book count.,PASS,PASS,CLEAR,ENTAILED,Cat6
170,Who produced the ten commandments of computer ethics?,"Ten Commandments of Computer Ethics The Ten Commandments of Computer Ethics were created in 1992 by the Computer Ethics Institute. The commandments were introduced in the paper ""In Pursuit of a 'Ten Commandments' for Computer Ethics"" by Ramon C. Barquin as a means to create ""a set of standards to guide and instruct people in the ethical use of computers."" They follow the Internet Advisory Board's memo on ethics from 1987. The Ten Commandments of Computer Ethics copies the archaic style of the Ten Commandments from the King James Bible. The commandments have been widely quoted in computer ethics literature

but also have been criticized by both the hacker community and some in academia. For instance, Dr. Ben Fairweather of the ""Centre for Computing and Social Responsibility"" has described them as ""simplistic"" and overly restrictive. ISC2, one of the thought leaders in the information security industry, has referred to the commandments in developing its own ethics rules. Ten Commandments of Computer Ethics The Ten Commandments of Computer Ethics were created in 1992 by the Computer Ethics Institute. The commandments were introduced in the paper ""In Pursuit of a 'Ten Commandments' for Computer Ethics"" by Ramon C. Barquin as a means

Computer ethics Computer ethics is a part of practical philosophy concerned with how computing professionals should make decisions regarding professional and social conduct. Margaret Anne Pierce, a professor in the Department of Mathematics and Computers at Georgia Southern University has categorized the ethical decisions related to computer technology and usage into three primary influences: The term computer ethics was first coined by Walter Maner, a professor at Bowling Green State University. The conceptual foundations of computer ethics are investigated by information ethics, a branch of philosophical ethics promoted, among others, by Luciano Floridi. The concept of computer ethics originated in",The Ten Commandments of Computer Ethics were created before the Internet Advisory Board's memo on ethics.,evidence_relation,1,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,Cat4,high,Ten Commandments of Computer Ethics The Ten Commandments of Computer Ethics were created in 1992 by the Computer Ethics Institute.,Chronology claim is unrelated to who created the commandments and reverses the stated order.,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,HIGH,Ten Commandments of Computer Ethics The Ten Commandments of Computer Ethics were created in 1992 by the Computer Ethics Institute. || Ten Commandments of Computer Ethics The Ten Commandments of Computer Ethics were created in 1992 by the Computer Ethics Institute.,INVALID: Chronological comparison does not identify the producing institute.,PASS,FAIL,CLEAR,CONTRADICTED,INVALID
177,E'Shun Melvin was the voice of Young Boyd on Teen Wolf  developed by Jeff Davis for what television network," He is best known for his role as Noah on the BET original comedy television series Real Husbands of Hollywood, and for providing the voice of Young Boyd on Teen Wolf.Teen Wolf is an American television series developed by Jeff Davis for MTV.",E'Shun Melvin was the voice of Young Boyd on Teen Wolf.,question_relevance;primary_category,2,PASS,PASS,CLEAR,ENTAILED,Cat1,,medium,"He is best known for his role as Noah on the BET original comedy television series Real Husbands of Hollywood, and for providing the voice of Young Boyd on Teen Wolf.Teen Wolf is an American television series developed by Jeff Davis for MTV.",Voice-role relation is a relevant premise linking E'Shun Melvin to Teen Wolf.,PASS,FAIL,CLEAR,ENTAILED,INVALID,HIGH,"He is best known for his role as Noah on the BET original comedy television series Real Husbands of Hollywood, and for providing the voice of Young Boyd on Teen Wolf.Teen Wolf is an American television series developed by Jeff Davis for MTV.",INVALID: Repeats the voice role rather than naming MTV.,PASS,FAIL,CLEAR,ENTAILED,Cat1
184,What event held by the Ultimate Fighting Championship was the largest regulated professional MMA event?," This paved the way for the largest regulated professional MMA event, UFC 129, which was held on April 30, 2011 at the Rogers Centre in Toronto.UFC 129: St-Pierre vs. Shields was a mixed martial arts event held by the Ultimate Fighting Championship on Saturday, April 30, 2011 at Rogers Centre in Toronto, Ontario, Canada.",UFC 129 had the most attendees.,evidence_clarity,1,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat5,,medium,"This paved the way for the largest regulated professional MMA event, UFC 129, which was held on April 30, 2011 at the Rogers Centre in Toronto.UFC 129: St-Pierre vs.","Factoid names the target UFC event, but 'most attendees' is not explicitly stated by 'largest'.",PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat5,MEDIUM,"This paved the way for the largest regulated professional MMA event, UFC 129, which was held on April 30, 2011 at the Rogers Centre in Toronto.UFC 129: St-Pierre vs. || Shields was a mixed martial arts event held by the Ultimate Fighting Championship on Saturday, April 30, 2011 at Rogers Centre in Toronto, Ontario, Canada.",The context calls UFC 129 the largest event but does not specify that attendance is the ranking criterion.,PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat5
189,"The Fortune Cookie (alternative UK title: Meet Whiplash Willie) is a 1966 black It was produced and directed by Samuel ""Billy"" Wilder, an Austrian-American filmmaker, screenwriter, producer, artist, and journalist whose career spanned, more than how many decades?"," It was produced and directed by Billy Wilder from a script by Wilder and I.A.L. Diamond.Samuel ""Billy"" Wilder ( ; ] ; June 22, 1906March 27, 2002) was an Austrian-American filmmaker, screenwriter, producer, artist, and journalist whose career spanned more than five decades.",The input is seven.,evidence_relation,1,FAIL,PASS,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat6,high,"Diamond.Samuel ""Billy"" Wilder ( ; ] ; June 22, 1906March 27, 2002) was an Austrian-American filmmaker, screenwriter, producer, artist, and journalist whose career spanned more than five decades.",Meta-style 'input' fragment is not a standalone factual proposition.,FAIL,PASS,CLEAR,CONTRADICTED,INVALID,HIGH,"It was produced and directed by Billy Wilder from a script by Wilder and I.A.L. || Diamond.Samuel ""Billy"" Wilder ( ; ] ; June 22, 1906March 27, 2002) was an Austrian-American filmmaker, screenwriter, producer, artist, and journalist whose career spanned more than five decades.",INVALID: Malformed non-standalone numerical fragment.,FAIL,PASS,CLEAR,ENTAILED,INVALID
203,Who publishes a horror game with protagonist Ellie?,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainment for PlayStation 4.",Sony Interactive Entertainment's notable studios include PlayStation All-Stars 25.,evidence_clarity,1,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat1,high,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainm",Studio claim is unrelated to publisher and unsupported.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,HIGH,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainm",INVALID: Malformed studio claim does not identify the publisher.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID
205,How old do you have to be to get a tattoo in washington?,"of 15. You must be over 18 years of age to get a tattoo freely without parental consent. You need to have parental or guardian consent at the ages of 16 and 17. The legal age is 18. The age is 18 or 15 with consent of parents. The minimum age is 18. In the Netherlands, the age at which persons may decide for themselves to have a tattoo and piercing is 16 years. This age limit is suspended for earlobe piercing but pertains to all other areas. Informed consent forms, with information concerning health (including allergies) must be available

pierce minors completely) The legal age to get a tattoo in Cyprus is 16 with written consent of parent. 18 without permission from parents The Danish tattoo law was valid from June 15, 1966. It is unlawful to tattoo someone under the age of 18. In addition to this it is unlawful to tattoo someone on the head, neck and hands. No legislation found. You need to be 18+ to get a tattoo in Finland, however, you may be able to get a permit to get a tattoo under the age of 18. The legal minimum age is 16 (with

Legal status of tattooing in the United States In the United States, there is no federal law regulating the practice of tattooing. However, all 50 states and the District of Columbia have statutory laws requiring a person receiving a tattoo be 18 years or older. This is partially based on the legal principle that a minor cannot enter into a legal contract or otherwise render informed consent for a procedure. Most states permit a person under the age of 18 to receive a tattoo with permission of a parent or guardian, but some states outright prohibit tattooing under a certain",The District of Columbia has statutory laws requiring a person receiving a tattoo be at least 16 years old.,question_relevance;primary_category,2,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,Cat3,high,"However, all 50 states and the District of Columbia have statutory laws requiring a person receiving a tattoo be 18 years or older.",Wrong jurisdiction for the Washington question; context also states an 18+ statutory threshold.,PASS,PASS,CLEAR,CONTRADICTED,Cat3,HIGH,"In the Netherlands, the age at which persons may decide for themselves to have a tattoo and piercing is 16 years. || However, all 50 states and the District of Columbia have statutory laws requiring a person receiving a tattoo be 18 years or older.","Verification turns on the statutory lower age boundary of 18, not 16.",PASS,PASS,CLEAR,CONTRADICTED,Cat3
209,Which game element from the previous season returned in season 26 of The Amazing Race but was not used or claimed by any team?,"Race"" took. The season finale aired on May 15, 2015. Blind date couple Laura Pierson & Tyler Adams, known as ""Team SoCal,"" were the winners of the 26th season of ""The Amazing Race"". This season covered , five continents, and eight countries, including visits to Japan, Thailand, Namibia, Germany, and for the first time Monaco. In some race segments, a special clue was available. Teams selecting the special clue received a Date Night reward, an opportunity to participate in a romantic activity. The Save from the previous season returned for this season but was unaired, unclaimed, and unused. It could

The Amazing Race 27 The Amazing Race 27 was the twenty-seventh installment of the U.S. reality television show ""The Amazing Race"". It featured eleven teams of two, with each team centered on a pre-existing relationship between the cast members such as marriage, dating, or best friends. Teams competed in a race around the world for a grand prize. This season premiered on September 25, 2015. Dating news reporters Kelsey Gerckens and Joey Buttitta were the winners of this season. Seen on ""The Amazing Race 25"", the show's Twitter page announced this season's filming on June 22, 2015. The tweet announced

The Amazing Race 28 The Amazing Race 28 is the twenty-eighth U.S. season of the reality television show ""The Amazing Race"". The season premiered on February 12, 2016. In this installment, it featured 11 teams of two with notable social media personalities (or at least one pair to team up with a non-notable internet celebrity) in a race around the world for a $1 million grand prize. ""Engaged dancers"" Dana Alexa and Matt Steffanina were the winners of this season of ""The Amazing Race"". Filming of ""The Amazing Race 28"" began on November 15, 2015, with host Phil Keoghan broadcasting",The Save returned but was completely unclaimed and unused.,atomicity;primary_category,2,FAIL,PASS,CLEAR,ENTAILED,INVALID,Cat1;Cat2,medium,"The Save from the previous season returned for this season but was unaired, unclaimed, and unused.","Bundles return, unclaimed, and unused status into separable claims, though all are supported.",PASS,PASS,CLEAR,ENTAILED,Cat2,HIGH,"Blind date couple Laura Pierson & Tyler Adams, known as ""Team SoCal,"" were the winners of the 26th season of ""The Amazing Race"". || The Save from the previous season returned for this season but was unaired, unclaimed, and unused.",Truth depends on the explicit unclaimed and unused status of the Save.,PASS,PASS,CLEAR,ENTAILED,Cat2
210,"Formerly titled the Collegiate Church of St Peter at Westminster, of which church was John Fecknam the last abbot?","John Feckenham (c. 1515 – October, 1584), also known as John Howman of Feckingham and later John de Feckenham or John Fecknam, was an English churchman, the last abbot of Westminster.Westminster Abbey, formally titled the Collegiate Church of St Peter at Westminster, is a large, mainly Gothic abbey church in the City of Westminster, London, just to the west of the Palace of Westminster.",John Feckenham became abbot of Westminster in 1540.,primary_category,1,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat4,Cat1,medium,"1515 – October, 1584), also known as John Howman of Feckingham and later John de Feckenham or John Fecknam, was an English churchman, the last abbot of Westminster.Westminster Abbey, formally titled the Collegiate Church of St Peter at Westminster, is a large, mainly Gothic abbey church in the City ","Abbot/Westminster relation is relevant, but the 1540 date is not stated.",PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat1,MEDIUM,"John Feckenham (c. || 1515 ‚Ä?October, 1584), also known as John Howman of Feckingham and later John de Feckenham or John Fecknam, was an English churchman, the last abbot of Westminster.Westminster Abbey, formally titled the Collegiate Church of St Peter at Westminster, is a large, mainly Gothic abbey church in the City ","Primary operation: direct entity, alias, attribute, membership, or lexical relation.",PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat4
212,Who publishes a horror game with protagonist Ellie?,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainment for PlayStation 4.",Sony Interactive Entertainment's notable studios include PlayStation All-Stars 31.,evidence_clarity,1,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,Cat1,high,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainm",Studio claim is unrelated to publisher and unsupported.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,HIGH,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainm",INVALID: Malformed studio claim does not identify the publisher.,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID
222,The motorway reffered to as the Mid Wirral Motorway is located in a suburb known for which buildings?," Westminster is famous for its terraced houses and the Joseph Groome Towers, three thirteen-storey tower blocks built as public housing . It can also be referred to as the Mid Wirral Motorway.",The motorway referred to as the Mid Wirral Motorway is not located near any particular buildings.,evidence_relation,1,PASS,PASS,AMBIGUOUS,AMBIGUOUS,Cat2,Cat1,low,It can also be referred to as the Mid Wirral Motorway.,The context is syntactically incomplete and does not clearly resolve the motorway/buildings relation.,PASS,PASS,AMBIGUOUS,NOT_ENOUGH_INFO,Cat2,LOW,"Westminster is famous for its terraced houses and the Joseph Groome Towers, three thirteen-storey tower blocks built as public housing . || It can also be referred to as the Mid Wirral Motorway.","Primary operation: negation, exclusion, exception, or proposition polarity.",PASS,PASS,CLEAR,CONTRADICTED,Cat2
227,Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,"Norbert Holm (16 December 1895 – 3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 – 14 October 1944) was a German general and military theorist. Popularly known as the Desert Fox, he served as field marshal in the Wehrmacht of Nazi Germany during World War II.",Norbert Holm was demoted because of Norbert Holm's Chief of Operations association with a military strategist.,atomicity;evidence_clarity,2,PASS,FAIL,CLEAR,ENTAILED,INVALID,Cat1,medium,"Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 – 14 October 1944) was a German general and military theorist.",Generic 'military strategist' relation does not answer Rommel's popular nickname.,FAIL,FAIL,AMBIGUOUS,ENTAILED,INVALID,HIGH,"Norbert Holm (16 December 1895 ‚Ä?3 June 1962) was a general in the Wehrmacht of Nazi Germany during World War II. || Following the 20 July plot, on 16 September 1944, Norbert Holm was arrested and later demoted because of his Chief of Operations association with Field Marsal Erwin Rommel.Erwin Rommel (15 November 1891 ‚Ä?14 October 1944) was a German general and military theorist.",INVALID: Self-referential malformed statement does not provide Rommel's nickname.,PASS,FAIL,CLEAR,ENTAILED,INVALID
229,"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?"," It was described by Panzer in 1809 and can be found everywhere in Europe except for Albania, Andorra, Monaco, Portugal, San Marino, Vatican City and various European islands. San Marino has the smallest population of all the members of the Council of Europe.",The beetle described by Charles Darwin cannot be found in San Marino.,atomicity;primary_category,2,FAIL,PASS,CLEAR,CONTRADICTED,INVALID,Cat1;Cat2,high,"It was described by Panzer in 1809 and can be found everywhere in Europe except for Albania, Andorra, Monaco, Portugal, San Marino, Vatican City and various European islands.",Compound claim combines an incorrect describer with a supported San Marino exclusion.,PASS,PASS,CLEAR,CONTRADICTED,Cat1,HIGH,"It was described by Panzer in 1809 and can be found everywhere in Europe except for Albania, Andorra, Monaco, Portugal, San Marino, Vatican City and various European islands. || San Marino has the smallest population of all the members of the Council of Europe.","Primary operation: direct entity, alias, attribute, membership, or lexical relation.",PASS,PASS,CLEAR,CONTRADICTED,Cat1
231,Where have Pradhan Mantri Jan-Dhan Yojana and Narendra Damodardas Modi served in politics?,"Pradhan Mantri Jan-Dhan Yojana(P.M.J.D.Y), Prime Minister's People Money Scheme is India's National Mission for Financial Inclusion to ensure access to financial services, namely Banking Savings & Deposit Accounts, Remittance, Credit, Insurance, Pension in an affordable manner.Narendra Damodardas Modi (] , born 17 September 1950) is an Indian politician who is the 14th and current Prime Minister of India, in office since May 2014.",Narendra Damodardas Modi has only been involved in Indian politics.,evidence_relation,1,PASS,PASS,CLEAR,NOT_ENOUGH_INFO,Cat3,Cat1,medium,"Pradhan Mantri Jan-Dhan Yojana(P.M.J.D.Y), Prime Minister's People Money Scheme is India's National Mission for Financial Inclusion to ensure access to financial services, namely Banking Savings & Deposit Accounts, Remittance, Credit, Insurance, Pension in an affordable manner.Narendra Damodardas Mo","The India focus is relevant, but the exclusive 'only' claim is stronger than the context supports.",PASS,PASS,CLEAR,ENTAILED,Cat3,MEDIUM,"Pradhan Mantri Jan-Dhan Yojana(P.M.J.D.Y), Prime Minister's People Money Scheme is India's National Mission for Financial Inclusion to ensure access to financial services, namely Banking Savings & Deposit Accounts, Remittance, Credit, Insurance, Pension in an affordable manner.Narendra Damodardas Mo",The exclusive scope marker 'only' makes geographical scope the principal operation.,PASS,PASS,CLEAR,ENTAILED,Cat3
