legacy_id,question,context,factoid,old_category,old_support,A_atomicity,A_question_relevance,A_evidence_clarity,A_evidence_relation,A_primary_category,B_atomicity,B_question_relevance,B_evidence_clarity,B_evidence_relation,B_primary_category,final_label_source,adjudicator_raw_atomicity,adjudicator_raw_question_relevance,adjudicator_raw_evidence_clarity,adjudicator_raw_evidence_relation,adjudicator_raw_primary_category,final_atomicity,final_question_relevance,final_evidence_clarity,final_evidence_relation,final_primary_category,final_support_binary,final_eligibility,legacy_action,changed_dimensions
56,"Who replaced the Peabody Award winner, made famous for his NPR flagship program, in 2004?","Renée Montagne (pronounced Mon-TAIN) is an American radio journalist and was the co-host (with Steve Inskeep and David Greene) of National Public Radio's weekday morning news program, ""Morning Edition"", from May 2004 to November 11, 2016. Montagne and Inskeep succeeded longtime host Bob Edwards, initially as interim replacements, and Greene joined the team in 2012. Montagne had served as a correspondent and occasional host since 1989. She usually broadcasts from NPR West in Culver City, California, a Los Angeles suburb.Robert Alan ""Bob"" Edwards (born May 16, 1947) is an American broadcast journalist, a Peabody Award-winning member of the National Radio Hall of Fame. He gained reputation as the first host of National Public Radio's flagship program, ""Morning Edition"". Starting in 2004, Edwards then was the host of ""The Bob Edwards Show"" on Sirius XM Radio and ""Bob Edwards Weekend"" distributed by Public Radio International to more than 150 public radio stations.",Steve Inskeep replaced the Peabody Award winner in 2004.,Cat7,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY
57,Song at the end of who dat boy?,"accompanied music video was uploaded on June 29, 2017 on Tyler's official YouTube channel. The music video was directed by Tyler under the pseudonym Wolf Haley. The music video features visual allusions to the 2017 film ""Get Out"" and rapper Action Bronson's face being sewn onto Tyler's. It also features a snippet of the song ""911"" at the end of the track. Who Dat Boy ""Who Dat Boy"" is a song by American rapper Tyler, the Creator. It was released on June 30, 2017 alongside, ""911 / Mr. Lonely"" through Columbia Records, as the lead singles from his fourth studio

Who Dat Boy ""Who Dat Boy"" is a song by American rapper Tyler, the Creator. It was released on June 30, 2017 alongside, ""911 / Mr. Lonely"" through Columbia Records, as the lead singles from his fourth studio album ""Flower Boy"". The song features vocals from ASAP Rocky. Tyler, the Creator began a one-week countdown on Twitter and Instagram to promote and release the two dual-singles called ""Who Dat Boy"" and ""911 / Mr. Lonely"" on June 30, 2017. The single is Tyler, the Creator's highest charting single to date debuting at 87 on the ""Billboard"" Hot 100. The song

before the announced release date of July 21. After a one-week countdown on Twitter and Instagram, Tyler, the Creator released a music video, titled ""Who Dat Boy"", to his official YouTube channel on June 29, 2017. The album's lead single, ""Who Dat Boy"" / ""911"", containing two songs: ""Who Dat Boy"" and ""911 / Mr. Lonely"" was released on June 30, 2017. The single peaked at number 87 on the US ""Billboard"" Hot 100. The album's second single, ""Boredom"", was released on July 11, 2017. The album's third single, ""I Ain't Got Time!"", was released on July 19, 2017. The","""Who Dat Boy"" was released alongside ""911/Mr. Lonely"".",Cat7,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,PASS,CLEAR,ENTAILED,Cat1,THIRD_PERSON_ADJUDICATION,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
58,Who is known as the father of toxicology?,"to convict the Belgian Count Hippolyte Visart de Bocarmé of killing his brother-in-law. Theophrastus Phillipus Auroleus Bombastus von Hohenheim (1493–1541) (also referred to as Paracelsus, from his belief that his studies were above or beyond the work of Celsus – a Roman physician from the first century) is also considered ""the father"" of toxicology. He is credited with the classic toxicology maxim, """"Alle Dinge sind Gift und nichts ist ohne Gift; allein die Dosis macht, dass ein Ding kein Gift ist."""" which translates as, ""All things are poisonous and nothing is without poison; only the dose makes a thing not

attempt to classify plants according to their toxic and therapeutic effect. Ibn Wahshiyya wrote the ""Book on Poisons"" in the 9th or 10th century. This was followed up in 1360 by Khagendra Mani Darpana. Mathieu Orfila is considered the modern father of toxicology, having given the subject its first formal treatment in 1813 in his ""Traité des poisons"", also called ""Toxicologie générale"". In 1850, Jean Stas became the first person to successfully isolate plant poisons from human tissue. This allowed him to identify the use of nicotine as a poison in the famous Bocarmé murder case, providing the evidence needed

Paracelsus Paracelsus (; 1493/4 – 24 September 1541), born Theophrastus von Hohenheim (full name Philippus Aureolus Theophrastus Bombastus von Hohenheim), was a Swiss physician, alchemist, and astrologer of the German Renaissance. He was a pioneer in several aspects of the ""medical revolution"" of the Renaissance, emphasizing the value of observation in combination with received wisdom. He is credited as the ""father of toxicology"". He also had a substantial impact as a prophet or diviner, his ""Prognostications"" being studied by Rosicrucians in the 1700s. Paracelsianism is the early modern medical movement inspired by the study of his works. Paracelsus was born",Paracelsus was a pioneer in several aspects of the medical revolution of the Renaissance.,Cat3,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
59,Was the memphis belle the first to complete 25 missions?,"chosen by the Eighth Air Force from those who had flown combat aboard, led by Capt. Morgan, for a 31-city war bond tour. Morgan's original co-pilot was Capt. James A. Verinis, who himself piloted the ""Memphis Belle"" for one mission. Verinis was promoted to aircraft commander of another B-17 for his final 16 missions and finished his tour on 13 May. He rejoined Morgan's crew as co-pilot for the flight back to the United States. The B-17 ""Hell's Angels"" (41-24577) of the 303rd Bomb Group completed 25 combat missions on 13 May 1943, becoming the first B-17 to complete the

of the 324th Bomb Squadron (Heavy); the squadron code ""DF"" and individual aircraft letter ""A."" Captain Robert K. Morgan's crew flew 29 combat missions with the 324th Bomb Squadron, all but four in the ""Memphis Belle"". The aircraft's 25 combat missions, which included eight German aircraft shot down by her crew, were: <nowiki>*</nowiki> Sources disagree on which two of these three missions the ""Memphis Belle"" received mission credits for. Morgan's crew completed the following missions in B-17s other than the ""Memphis Belle"": The aircraft was then flown back to the United States on 8 June 1943, by a composite crew

had been the pilot on the majority of the missions flown by the B-17 Flying Fortress, ""Memphis Belle"", when it was designated the official ""first"" bomber to complete 25 operations, while flying with the 91st Bomb Group, VIII Bomber Command, in the European Theatre of Operations. (""Hell's Angels"", of the 303d Bomb Group, actually beat the ""Belle"" by one week.) ""Memphis Belle"" was the first combat-veteran bomber to return to the United States as part of a publicity campaign to sell war bonds. Morgan flew the plane all over the United States for bond rallies. Promoted to Major, Morgan flew",Hell's Angels (41-24577) was of the 303rd Bomb Group.,Cat7,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
60,Was Beyond the Gates of Splendor or Jesus Camp released first?,"Beyond the Gates of Splendor (also Beyond the Gates) is a feature-length documentary film that was released in 2004.Jesus Camp is a 2006 American documentary film directed by Rachel Grady and Heidi Ewing about a Charismatic Christian summer camp, where children spend their summers being taught that they have ""prophetic gifts"" and can ""take back America for Christ"".",The five American missionaries were Ed McCully.,Cat6,UNSUPPORTED,FAIL,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
61,Martin & Orloff is a film featuring a cast member who also voiced Crane in what film franchise?,"Martin & Orloff is a 2002 feature film written by and starring Matt Walsh and Ian Roberts (Walsh & Roberts are best known as half of the Upright Citizens Brigade comedy troupe) along with Ian's wife Katie Roberts. The film was produced and directed by Lawrence Blume and features an ensemble cast of alternative comedians including H. Jon Benjamin, David Cross, Andy Richter, Matt Besser, Amy Poehler, Tina Fey, Janeane Garofalo and Rachel Dratch, as well as actress Kim Raver as Orloff's girlfriend.David Cross (born April 4, 1964) is an American stand-up comedian, actor, director and writer, known primarily for his stand-up performances, the HBO sketch comedy series ""Mr. Show"", and his role as Tobias Fünke in the sitcom ""Arrested Development"". Cross created, wrote, executive produced, and starred in ""The Increasingly Poor Decisions of Todd Margaret"", developed and had a prominent role in ""Freak Show"", appeared on ""Modern Family"", portrayed Ian Hawke in the ""Alvin and the Chipmunks"" film franchise, and voiced Crane in the ""Kung Fu Panda"" film franchise.",The awards include the Annie Award for Best Animated Feature.,Cat5,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
62,The real life person that James Woods' character is based on in the television film In Love and War was awarded what medal?,"In Love and War (1987) is a Vietnam war-based thriller/drama television film starring James Woods and Jane Alexander. The film is based on the true story of James Stockdale and Sybil Stockdale.James Bond Stockdale (December 23, 1923July 5, 2005) was a United States Navy vice admiral and aviator awarded the Medal of Honor in the Vietnam War, during which he was an American prisoner of war for over seven years.",The Medal of Honor is the highest military decoration.,Cat5,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
63,Abuzar Aydamirov wrote lyrics in 1992 to what Russian national anthwm?,"Abuzar Abdulhakimovich Aydamirov, Russian: Абузар Абдулхакимович Айдамиров (29 October 1929 – 27 May 2005) was a Chechen novelist and poet, author of a historical trilogy dedicated to Caucasian Wars (Long Nights; A Lightning in Mountains; A Tempest) and of the Anthem of the Chechen Republic of Ichkeria. It was written in 1992 by either Ali Dimaev or Umar Beksultanov, with the lyrics contributed by Abuzar Aydamirov.",Abuzar Aydamirov wrote lyrics in 1992 for the Russian national anthem.,Cat4,UNSUPPORTED,PASS,PASS,CLEAR,CONTRADICTED,Cat1,PASS,PASS,CLEAR,CONTRADICTED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,CONTRADICTED,Cat1,UNSUPPORTED,ELIGIBLE,RELABEL,CATEGORY
64,Who sings better than i in joseph king of dreams?,"companion to the video"", also written by Mackall. ""Joseph, King of Dreams: read-along"" (8 Mar 2001) was a full-color storybook and accompanying cassette which ""capture[d] all the emotional and dramatic high points"". Written by Catherine McCafferty, it included the song ""Better Than I"" and dialogue from the film. A fourth book was published as well. The film received mixed to positive reviews from critics. While praising the film's merits including animation, storytelling, and music, much of the criticism came with comparing it negatively to its theatrically released predecessor ""The Prince of Egypt"". The song ""You Know Better Than I"" was

You Know Better Than I ""You Know Better Than I"" (aka ""Better Than I"") is a song from the 2000 direct-to-video film """". It is performed by Joseph (David Campbell). The song is performed when Joseph is at his lowest point, almost giving up on his faith. He decides to trust fully in God and acknowledge that he is the master of the universe who has an ultimate plan, even if things seem bad at present and he doesn't fully understand why. PluggedIn explains the song's meaning: ""Persevering through dark times can yield great rewards. God’s role in Joseph’s comeback

yet never feel sentimental or generic"". You Know Better Than I ""You Know Better Than I"" (aka ""Better Than I"") is a song from the 2000 direct-to-video film """". It is performed by Joseph (David Campbell). The song is performed when Joseph is at his lowest point, almost giving up on his faith. He decides to trust fully in God and acknowledge that he is the master of the universe who has an ultimate plan, even if things seem bad at present and he doesn't fully understand why. PluggedIn explains the song's meaning: ""Persevering through dark times can yield great","David Campbell provided the singing voice for ""Better Than I"" in Joseph: King of Dreams.",Cat1,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
65,Who did ed sheeran wrote nancy mulligan about?,"Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. It was included on the deluxe edition of his third studio album ""÷"" (2017). After the album's release it charted at number 13 on the UK Singles Chart. Sheeran recorded the song together with Beoga. ""Nancy Mulligan"" is one of the most personal songs on the album, telling the story of how his grandparents, William Sheeran, a Protestant from Belfast, Northern Ireland and Nancy Mulligan (real name Anne Mulligan), a Catholic from Republic of Ireland, met, fell in love during the Second World War and got married at

Hopefully if these songs are successful, more people will do a bit more like it."" In 2017, the song was covered by the Irish country singer Mike Denver with an accompanying music video. Sheeran performed the song, backed on stage by Beoga, during his headline performance at the Glastonbury Festival. Nancy Mulligan ""Nancy Mulligan"" is a song by English singer-songwriter Ed Sheeran. It was included on the deluxe edition of his third studio album ""÷"" (2017). After the album's release it charted at number 13 on the UK Singles Chart. Sheeran recorded the song together with Beoga. ""Nancy Mulligan"" is

the Wexford border. Sheeran said: ""They got engaged and no one turned up at their wedding. He stole all the gold teeth in his dental surgery and melted them down into a wedding ring, and they wore borrowed clothes to get married, and just basically have this kind of Romeo and Juliet romance, which is like the most romantic thing. So I thought I'd write a song about it and make it a jig."" In an interview with the ""Irish Times"", talking about the song's Irish roots, Sheeran said ""I don't think enough people use Irish folk in pop music...",The song 'Nancy Mulligan' was included on Ed Sheeran's third studio album.,Cat3,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
66,What year did the person James Matheson received an award named for in 2011 die?,"James Matheson (born 1970 in Des Moines, Iowa) is an American composer. In December 2011, he received the Charles Ives Living from the American Academy of Arts and Letters, an award providing him with $100,000 for two years (2012-2014).Charles Edward Ives ( ; October 20, 1874May 19, 1954) was an American modernist composer.",James Matheson received the award in 2011.,Cat4,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
67," Which species, Cardwellia or Ochagavia, is native to South America?"," The species Cardwellia sublimis (northern silky oak) grows naturally only (endemic) in the rainforests of the wet tropics region of north eastern Queensland, Australia.Ochagavia is a genus of the botanical family Bromeliaceae, subfamily Bromelioideae. The genus is named for Sylvestris Ochagavia, Chilean minister of education. Endemic to southern and central Chile (including the Juan Fernández Islands), this genus is represented by four accepted species.",Silvestre Ochagavía Errázuriz was a member of the Academy of Medicine of Chile.,Cat7,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
68,"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?  "," ""Funnybot"" premiered in the United States on Comedy Central on May 4, 2011, the first time a ""South Park"" episode has aired in May since season 10's ""Tsst"" in 2006.The tenth season of ""South Park"", an American animated television series created by Trey Parker and Matt Stone, began airing on March 22, 2006.","""Funnybot"" is the third episode of the fifteenth season of ""American Dad.""",Cat1,UNSUPPORTED,PASS,PASS,CLEAR,CONTRADICTED,Cat1,PASS,PASS,CLEAR,CONTRADICTED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,CONTRADICTED,Cat1,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
69,Which film directed by Brian Percival is based on a book by Markus Zusak?,"Brian Percival is a British film director, known for his work on the British television series ""Downton Abbey"" and ""North & South"", as well as the feature film ""The Book Thief"". The film is based on the 2005 novel ""The Book Thief"" by Markus Zusak and adapted by Michael Petroni.",Every work directed by Brian Percival mentioned in the text is a feature film.,Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
70,Where does the flat iron cut of meat come from?,"of steak is from the shoulder of a beef animal. It is located adjacent to the heart of the shoulder clod, under the seven or paddle bone (shoulder blade or scapula). The steak encompasses the infraspinatus muscles of beef, and one may see this displayed in some butcher shops and meat markets as a ""top blade"" roast. Anatomically, the muscle forms the dorsal part of the rotator cuff of the steer. This cut is anatomically distinct from the shoulder tender, which lies directly below it and is the teres major. Flat iron steaks usually have a significant amount of marbling.

the original flat iron cut was identified in 2002 as part of a National Cattlemen's Beef Association initiative, in conjunction with the University of Nebraska and the University of Florida to find lower-priced cuts which could be trimmed into steaks and roasts. Flat iron steak Flat iron steak (US), butlers' steak (UK), or oyster blade steak (Australia and New Zealand) is a cut of steak cut with the grain from the shoulder of the animal. This produces a flavorful cut that is a bit tough because it contains a gristly fascia membrane unless removed. Some restaurants offer it on their

Flat iron steak Flat iron steak (US), butlers' steak (UK), or oyster blade steak (Australia and New Zealand) is a cut of steak cut with the grain from the shoulder of the animal. This produces a flavorful cut that is a bit tough because it contains a gristly fascia membrane unless removed. Some restaurants offer it on their menu, often at lower price than the more popular rib-eye and strip steaks of the same grade. This is used, in some places, as a means of selling a less expensive cut from the same animal, for example Kobe beef. This cut",The part of the shoulder a flat iron cut of meat comes from is under the seven bone.,Cat7,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat1,PASS,PASS,CLEAR,ENTAILED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat1,SUPPORTED,ELIGIBLE,RELABEL,CATEGORY
71,"Who is an American journalist and has been Literary Editor of ""The Weekly Standard,"",  Philip Terzian or Derek Sherinian","Philip Henry Terzian (born 1950) is an American journalist and has been Literary Editor of ""The Weekly Standard,"" the well-known journal of politics and culture founded by William Kristol and Fred Barnes in 1995, since 2005.Derek Sherinian (born August 25, 1966) is an American keyboardist who has toured and recorded for Alice Cooper, Billy Idol, Yngwie Malmsteen, Kiss, Steve Vai, and Joe Bonamassa.",Derek Sherinian is the Literary Editor.,Cat1,UNSUPPORTED,PASS,PASS,CLEAR,CONTRADICTED,Cat1,PASS,PASS,CLEAR,CONTRADICTED,Cat1,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,CONTRADICTED,Cat1,UNSUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
72,Was We Are Scientists or Needtobreathe formed further west?,"Needtobreathe (stylized as NEEDTOBREATHE) is an American Christian rock band from Seneca, South Carolina, United States. The band is composed of Bear Rinehart (lead vocals, guitar, piano), Bo Rinehart (backing vocals, guitar), Seth Bolt (backing vocals, bass) and Josh Lovelace (backing vocals, keys). It consists of guitarist and vocalist Keith Murray and bass guitarist Chris Cain.","Needtobreathe's lyrics often explore themes of faith, hope, and redemption.",Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
73,From what famous soliloquy is the title What Dreams May Come derived from?," The book derives its title from a line in Hamlet's famous ""To be, or not to be..."" soliloquy.To be, or not to be is the opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet"".","Prince Hamlet delivers the 'To be, or not to be' soliloquy after the play 'Hamlet' ends.",Cat4,UNSUPPORTED,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
74,Which DAF brand truck is produced by Leyland Trucks at their Farington plant?,"The DAF XF is a range of trucks produced by the Dutch manufacturer DAF since 1997. All right hand drive versions of the XF are assembled at Leyland Trucks in the UK. Some of the truck models sold with the DAF brand are designed and built by Leyland Trucks at their Farington plant in Leyland near Preston, England.",The DAF XF has been updated several times since its launch.,Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
75,"Which magazine, In These Times or Tall Timber Short Lines, is an American politically progressive/democratic socialist monthly magazine of news and opinion published in Chicago, Illinois?","In These Times is an American politically progressive/democratic socialist monthly magazine of news and opinion published in Chicago, Illinois.Tall Timber Short Lines was a magazine dedicated to logging railroads and short line railroads, and was published by Oso Publications.",Tall Timber Short Lines is not an American politically progressive/democratic socialist monthly magazine.,Cat2,SUPPORTED,PASS,PASS,CLEAR,ENTAILED,Cat2,PASS,PASS,CLEAR,ENTAILED,Cat2,A_B_AGREEMENT,,,,,,PASS,PASS,CLEAR,ENTAILED,Cat2,SUPPORTED,ELIGIBLE,RETAIN_UNCHANGED,
76,Who publishes a horror game with protagonist Ellie?,"Ellie is a fictional character in the 2013 video game ""The Last of Us"", and the main protagonist of the upcoming video game ""The Last of Us Part II"".The Last of Us Part II is an upcoming action-adventure survival horror video game developed by Naughty Dog and published by Sony Interactive Entertainment for PlayStation 4.",Sony Interactive Entertainment's notable studios include PlayStation All-Stars 17.,Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,AMBIGUOUS,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
77,"What shopping centre located in Kuala Lumpur, Malaysia does KLCC District Cooling provide district cooling for?","KLCC District Cooling is a building that is used to provide district cooling for the KLCC vicinity. It is a 30,000 ton gas-powered turbine-driven chilled water unit providing cool air not only to Petronas Twin Towers and Suria KLCC, but also to Maxis Tower, Menara Exxon Mobil, Kuala Lumpur Convention Centre, and Mandarin Oriental Kuala Lumpur as well as As Syakirin Mosque.Suria KLCC is a shopping centre located in central Kuala Lumpur, Malaysia.","KLCC District Cooling provides district cooling for several religious buildings in Kuala Lumpur, Malaysia.",Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,THIRD_PERSON_ADJUDICATION,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,PASS,FAIL,CLEAR,CONTRADICTED,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
78,"The Stage"" is a song by Avenged Sevenfold and the first single from their seventh studio album of the same name, which was released on which date?","""The Stage"" is a song by Avenged Sevenfold and the first single from their seventh studio album of the same name, which was released on October 28, 2016.The Stage is the seventh studio album by American heavy metal band Avenged Sevenfold, released on October 28, 2016 by Capitol Records after a live stream event on the band's Facebook page.",Avenged Sevenfold's seventh studio album was released at 8:45 PM.,Cat6,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
79,When was the greatest showman released in theaters?,"copies, 186,000 downloads and 186,000 streaming. On November 16, 2018. 20th Century Fox released a cover album entitled ""The Greatest Showman: Reimagined"", featuring a variety of artists. ""The Greatest Showman"" held its premiere on December 8, 2017, aboard the RMS ""Queen Mary 2"", while it was docked in New York City. The film was then released in the United States on December 20, 2017. Like Disney's live-action ""Beauty and the Beast"", a sing-along version of the film was released in the United Kingdom on February 23, 2018. The film had a limited IMAX release on February 2. On June 28,

United Kingdom, the film was released first on digital download on April 27, 2018, while Blu-ray, 4K Ultra HD and DVD copies went on sale on May 14. These versions include the sing-along version, two hours of behind-the-scenes footage and music machine jukebox features. ""The Greatest Showman"" spent 219 days in release, closing on July 26, 2018, having grossed $174.3million in the United States and Canada, and $260.7million in other territories, for a worldwide total of $435million, against a production budget of $84million. It is the third highest grossing musical ever in North America and globally, respectively, and ""Deadline Hollywood""

The Greatest Showman The Greatest Showman is a 2017 American musical film directed by Michael Gracey in his directorial debut, written by Jenny Bicks and Bill Condon and starring Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, and Zendaya. The film is inspired by the story of P. T. Barnum's creation of the Barnum & Bailey Circus and the lives of its star attractions. Principal photography began in New York City in November 2016. The film premiered on December 8, 2017, aboard the RMS ""Queen Mary 2"". It was released in the United States on December 20, 2017, by 20th","The RMS ""Queen Mary 2"" was docked in New York City during The Greatest Showman's premiere.",Cat1,SUPPORTED,PASS,FAIL,CLEAR,ENTAILED,INVALID,PASS,FAIL,CLEAR,ENTAILED,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,ENTAILED,INVALID,SUPPORTED,INVALID,REMOVE,ELIGIBILITY
80,Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on what show?,"""Ghostbusters"" is a song written and recorded by Ray Parker Jr. as the theme to the film of the same name starring Bill Murray, Dan Aykroyd, Harold Ramis, and Ernie Hudson.Daniel Edward Aykroyd {'1': "", '2': "", '3': "", '4': ""} (born July 1, 1952) is a Canadian-American actor, comedian, producer, screenwriter, musician and businessman. He was an original member of the ""Not Ready for Prime Time Players"" on ""Saturday Night Live"" (1975–1979).",All actors starring in the movie Ghostbusters were original members of the Not Ready for Prime Time Players.,Cat3,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
81,"Which documentary film was released first, Station to Station or Black Chicks Talking?","Station to Station is the 2014 film of Doug Aitken's 2013 ""Nomadic Happening"", the film is made up of 62 one-minute films.Black Chicks Talking is an arts project by Australian actress Leah Purcell featuring a 2001 documentary film, a 2002 book, a stage production and an art exhibition.","The five Aboriginal women are Deborah Mailman, Tammy Williams, Kathryn Hay, Liza Fraser-Gooda, and Marcia Ella-Duncan.",Cat6,UNSUPPORTED,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,A_B_AGREEMENT,,,,,,PASS,FAIL,CLEAR,NOT_ENOUGH_INFO,INVALID,UNSUPPORTED,INVALID,REMOVE,ELIGIBILITY
